,Permanent Members
0,
1,United Kingdom of Great Britain and Northern Ireland
2,United States of America
3,French Republic
4,Russian Federation 
5,People's Republic of China
6,
7,Non Permanent Members
8,
9,Kingdom of Belgium
10,Republic of Côte d’Ivoire
11,Dominican Republic
12,Republic of Equatorial Guinea
13,Republic of Poland
14,Federal Republic of Germany
15,Republic of Peru
16,State of Kuwait
17,Republic of Indonesia
18,Republic of South Africa (RSA)
19,
20,Observers
21,Arab Republic of Egypt
22,Republic of Iraq
23,State of Libya
24,People's Democratic Republic of Algeria
25,Republic of Rwanda
